"","company_size_23","prim_opsyst_14","rather_opsyst_15","purch_influence_16","solution_research_17","highest_edu_18","prim_study_19","edu_importance_20","change_edu_21","job_satisfaction_22","other_technology_13","ID"
"26","Over 500","Windows","Linux-based","I have little or no influence","Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;Ask developers I know/work with;","Master","Other_Engineering","Fairly important","I woud not go to university","Neither satisfied nor dissatisfied","Rust - this year",31
"27","Below 100","Windows","Windows","I have some influence","Ask developers I know/work with;","Bachelor","Health_Science","Very important",NA,"Slightly satisfied",NA,32
"28","Below 10","Windows","Windows","I have a great deal of influence","Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Computer_Science_Engineering","Fairly important",NA,"Very dissatisfied",NA,33
"29","Below 100","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important","learn programming earlier","Slightly satisfied","HTML",34
"30","Below 10","MacOS","MacOS","I have little or no influence","Start a free trial;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Critically important",NA,"Very satisfied","Python",35
"31","1","Windows","Windows","I have a great deal of influence","Ask developers I know/work with;Start a free trial;","Higher_National_Diploma","Health_Science","Critically important",NA,"Slightly dissatisfied",NA,36
"32","Below 20","Windows","Windows","I have little or no influence","Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Very satisfied",NA,37
"33",NA,"Windows","Windows",NA,"Visit developer communities like Stack Overflow;","Bachelor","Other_Engineering","Fairly important",NA,NA,NA,38
"34","Below 10","Windows","MacOS","I have a great deal of influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Slightly satisfied","Python - both",39
"35","Below 10","Windows","Windows","I have some influence","Ask developers I know/work with;Start a free trial;Visit developer communities like Stack Overflow;",NA,NA,NA,NA,"Neither satisfied nor dissatisfied","JavaScript",40
"36","1","Windows","Windows","I have little or no influence",NA,"Secondary_High_School","Computer_Science_Engineering","Somewhat important",NA,"Slightly satisfied","Qt - both, Golang - next year",41
"37","Below 100","Windows","Windows","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important","Nothing","Slightly satisfied",NA,42
"38","Over 100","Windows","Windows","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important",NA,"Very dissatisfied",NA,43
"39","Below 20","Windows","BSD","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,"Slightly satisfied",NA,44
"40","Below 20","Windows","MacOS","I have little or no influence","Start a free trial;","Bachelor","Other_Engineering","Very important","I would study Computer Science","Slightly dissatisfied","Sckit-learn, R",45
"41","Below 100","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;","Master","Mathematics_Statistics","Fairly important",NA,"Very dissatisfied","Golang, Ocaml, Rust, Haskell, ML/AI",46
"42","Below 10","Linux-based","Linux-based","I have a great deal of influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Master","Mathematics_Statistics","Very important","I woud have added something else to my studies","Slightly satisfied","Golang - next year",47
"43","Below 10","Windows","MacOS","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Neither satisfied nor dissatisfied",NA,48
"44","1","Windows","Windows","I have a great deal of influence","Ask developers I know/work with;Start a free trial;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Slightly satisfied","JavaScript - both, Python - next year",49
"45","Over 500","Windows","Linux-based","I have little or no influence","Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Business","Very important","I woud have added something else to my studies","Neither satisfied nor dissatisfied",NA,50
"46",NA,"Linux-based","Linux-based","I have some influence","Ask developers I know/work with;","Higher_National_Diploma","Information_Technology","Critically important",NA,"Very satisfied",NA,51
"47","Below 10","Windows","Windows","I have little or no influence","Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Social_Science","Somewhat important","I would study Computer Science","Slightly dissatisfied",NA,52
"48","Below 100","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Very important",NA,"Slightly satisfied","Sails.js - both",53
"49","Below 10","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,NA,NA,54
"50","Over 500","MacOS","MacOS","I have a great deal of influence","Start a free trial;","Bachelor","Business","Critically important","I would study Computer Science","Neither satisfied nor dissatisfied",NA,55
"51",NA,"Linux-based","Linux-based","I have a great deal of influence","Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,NA,NA,56
"52","Below 100","Windows","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,"Very dissatisfied",NA,57
"53","Over 500","Linux-based","Linux-based","I have some influence","Depends on the use case;","Bachelor","Computer_Science_Engineering","Critically important",NA,"Slightly satisfied",NA,58
"54","Below 10","Linux-based","Linux-based","I have some influence","Start a free trial;","Bachelor","Information_Technology","Fairly important","The program of study. I would probably take a computer science course","Slightly satisfied","Golang - both",59
"55","Below 20","Windows","Windows","I have some influence","Start a free trial;","Bachelor","Health_Science","Fairly important","Nothing","Slightly satisfied",NA,60
"56","Over 100","MacOS","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Very satisfied",NA,61
"57","Below 100","MacOS","MacOS","I have a great deal of influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Not at all important/not necessary","Nothing","Very satisfied","Golang",62
"58","Below 100","Windows","Linux-based","I have some influence","Start a free trial;",NA,NA,NA,"learn programming earlier","Very satisfied",NA,63
"59",NA,NA,NA,"I have little or no influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,NA,NA,64
"60","1","Windows","Windows","I have little or no influence","Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,"Slightly satisfied",NA,65
"61","Over 100","Windows","Linux-based","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Fairly important","I woud not go to university","Slightly dissatisfied",NA,66
"62","Over 500","Windows","MacOS","I have a great deal of influence","Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Very satisfied",NA,67
"63","Below 100","Windows","Windows","I have little or no influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Slightly dissatisfied","JavaScript, HTML, CSS, Flask",68
"64","1","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Bachelor","Social_Science","Critically important","Nothing","Slightly satisfied",NA,69
"65","Below 10","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Mathematics_Statistics","Critically important","Nothing","Very satisfied",NA,70
"66",NA,"Windows","Windows","I have little or no influence","Start a free trial;","Bachelor","Health_Science","Fairly important",NA,NA,NA,71
"67","Below 10","Windows","Windows","I have little or no influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important","Nothing","Neither satisfied nor dissatisfied","Golang - next year",72
"68","Over 500","MacOS","Linux-based","I have some influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important","Nothing","Slightly satisfied","Python, Internet-of-Things, AI",73
"69","1","Linux-based","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Critically important",NA,"Slightly satisfied",NA,74
"70","Below 100","Windows","Linux-based","I have little or no influence","Start a free trial;","Master","Computer_Science_Engineering","Fairly important",NA,"Neither satisfied nor dissatisfied",NA,75
"71","Over 100","Linux-based","Windows","I have little or no influence","Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important",NA,"Very satisfied","Flask - both",76
"72","Over 500","MacOS","MacOS","I have little or no influence","Start a free trial;Ask developers I know/work with;","Bachelor","Information_Technology","Fairly important","more practical work","Slightly satisfied",NA,77
"73","Over 100","Windows","Linux-based","I have little or no influence","Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;","Bachelor","Information_Technology","Fairly important",NA,"Slightly dissatisfied",NA,78
"74","Below 10","Windows","MacOS","I have a great deal of influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important","Business or graphic design","Neither satisfied nor dissatisfied",NA,79
"75","1","Windows","Windows","I have a great deal of influence","Ask developers I know/work with;Start a free trial;","Secondary_High_School","Computer_Science_Engineering","Fairly important","My tertiary institution","Neither satisfied nor dissatisfied","Blockchain - next year",80
"76","Below 10","Windows","Linux-based","I have some influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Somewhat important",NA,"Very satisfied",NA,81
"77","Below 100","MacOS","MacOS","I have little or no influence","Start a free trial;Ask developers I know/work with;","Bachelor","Health_Science","Not at all important/not necessary","Nothing","Slightly satisfied",NA,82
"78","Below 10","Windows","Windows","I have little or no influence","Ask developers I know/work with;","Secondary_High_School","Other_Engineering","Very important","Nothing","Slightly satisfied",NA,83
"79","1","Windows","Linux-based",NA,"Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Electrical_Engineering","Somewhat important","Nothing","Very satisfied",NA,84
"80","Below 10","Linux-based","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;","Bachelor","Mathematics_Statistics","Somewhat important","Nothing","Slightly satisfied",NA,85
"81","Below 20","MacOS","MacOS","I have some influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Business","Not at all important/not necessary","I would study Computer Science","Slightly satisfied",NA,86
"82","Below 10","MacOS","MacOS","I have a great deal of influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Physics","Not at all important/not necessary","Nothing","Very satisfied","Golang - next year, Python - next year",87
"83","Below 20","Windows","Linux-based","I have little or no influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Very important","learn more independently","Neither satisfied nor dissatisfied",NA,88
"84","Below 10","Windows","Windows","I have a great deal of influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Critically important",NA,"Very satisfied",NA,89
"85","Below 100","MacOS",NA,"I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Bachelor","Information_Technology","Fairly important",NA,"Slightly satisfied",NA,90
"86",NA,"Windows","Linux-based","I have little or no influence",NA,"Bachelor","Computer_Science_Engineering","Fairly important",NA,NA,NA,91
"87",NA,"Windows","Linux-based",NA,"Ask developers I know/work with;",NA,NA,NA,NA,NA,NA,92
"88","Over 500","MacOS","MacOS","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Very important","change my school","Neither satisfied nor dissatisfied",NA,93
"89",NA,"Windows","MacOS","I have little or no influence","Start a free trial;","Secondary_High_School","Computer_Science_Engineering","Critically important",NA,"Slightly dissatisfied",NA,94
"90","Below 20","Windows","Linux-based","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Somewhat important","learn programming earlier","Neither satisfied nor dissatisfied",NA,95
"91","Below 20","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important","More Focus on Mathematics","Neither satisfied nor dissatisfied",NA,96
"92","Below 10","Linux-based","MacOS","I have a great deal of influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Critically important","Nothing","Slightly satisfied","Python",97
"93",NA,"Windows","Linux-based","I have little or no influence","Visit developer communities like Stack Overflow;Start a free trial;Ask developers I know/work with;","Bachelor","Information_Technology","Very important",NA,NA,NA,98
"94",NA,"Linux-based","MacOS","I have little or no influence","Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;","Higher_National_Diploma","Information_Technology","Very important",NA,NA,NA,99
"95",NA,"MacOS","MacOS",NA,NA,"Secondary_High_School","General_Arts","Fairly important","Nothing","Very satisfied",NA,100
"96","Below 10","Windows","Linux-based","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Other_Engineering","Fairly important","field of study","Slightly satisfied",NA,101
"97","1","Windows","Windows","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Health_Science","Fairly important",NA,"Neither satisfied nor dissatisfied",NA,102
"98","Below 10","MacOS","MacOS","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Not at all important/not necessary","Nothing","Very satisfied",NA,103
"99","1","Windows","Windows","I have some influence","Start a free trial;","Bachelor","Health_Science","Very important","Yes","Neither satisfied nor dissatisfied",NA,104
"100","Over 100","Windows","Windows","I have some influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Very satisfied","Selenium - both",105
"101","Below 20","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;Ask developers I know/work with;",NA,NA,NA,"learn programming earlier","Very satisfied","Python - both",106
"102","1","Windows","Linux-based","I have some influence","Visit developer communities like Stack Overflow;","Secondary_High_School","Computer_Science_Engineering","Fairly important",NA,"Slightly satisfied",NA,107
"103","Below 100","Linux-based","Linux-based","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Electrical_Engineering","Somewhat important","Nothing","Slightly satisfied","Bash shell script - both, Rust - next year",108
"104","Below 20","Linux-based","MacOS","I have little or no influence","Ask developers I know/work with;","Bachelor","Information_Technology","Fairly important",NA,"Neither satisfied nor dissatisfied",NA,109
"105","Below 20","MacOS","MacOS","I have a great deal of influence","Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important","My Choice of university of study","Slightly satisfied",NA,110
"106",NA,"Windows","Linux-based","I have little or no influence","Ask developers I know/work with;","Secondary_High_School","Mathematics_Statistics","Critically important",NA,NA,NA,111
"107",NA,"Windows","Windows","I have little or no influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,"Combination of modules I select for the course",NA,"R",112
"108","1","Windows","Windows","I have a great deal of influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Fairly important","Nothing","Very satisfied","Unity3D - both, Godot - next year",113
"109","1","Linux-based","Linux-based","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Computer_Science_Engineering","Very important","Nothing","Neither satisfied nor dissatisfied",NA,114
"110","Below 10","Windows","Windows","I have a great deal of influence","Start a free trial;","Master","Computer_Science_Engineering","Critically important","More Focus on Mathematics","Slightly satisfied",NA,115
"111","1","Windows","Windows","I have little or no influence","Visit developer communities like Stack Overflow;","Secondary_High_School","Visual_Arts","Somewhat important","I woud have added something else to my studies","Neither satisfied nor dissatisfied",NA,116
"112","NA","Linux-based","Linux-based","I have little or no influence","Start a free trial;","Secondary_High_School","Computer_Science_Engineering","Critically important",NA,"Neither satisfied nor dissatisfied","Flask",117
"113","Over 100","MacOS","MacOS","I have little or no influence","Ask developers I know/work with;Start a free trial;",NA,NA,NA,NA,"Slightly dissatisfied",NA,118
"114","1","Windows","Linux-based","I have little or no influence","Start a free trial;",NA,NA,NA,NA,"Slightly satisfied",NA,119
"115","Below 10","Windows","MacOS","I have a great deal of influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Somewhat important",NA,"Very satisfied",NA,120
"116",NA,"Windows","Windows","I have some influence","Ask developers I know/work with;Start a free trial;","Secondary_High_School","Chemistry","Critically important",NA,NA,NA,121
"117",NA,"Linux-based","Linux-based","I have little or no influence","Start a free trial;",NA,NA,NA,NA,NA,NA,122
"118","Below 10","Windows","Windows","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Critically important","I woud have added something else to my studies","Very satisfied",NA,123
"119","Below 20","MacOS","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;",NA,NA,NA,NA,"Slightly satisfied",NA,124
"120","Below 10","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Professional Diploma","Computer_Science_Engineering","Not at all important/not necessary","learn more independently","Very satisfied","Ethical Hacking - next year",125
"121",NA,"Windows","MacOS","I have some influence",NA,"Bachelor","Computer_Science_Engineering","Critically important",NA,NA,"Python - this year",126
"122",NA,"Windows","Windows","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important",NA,NA,NA,127
"123","Below 20","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Very important","My final year elective courses","Slightly satisfied","Python - both",128
"124","1","Windows","Windows",NA,"Ask developers I know/work with;Start a free trial;Visit developer communities like Stack Overflow;","Bachelor","Business","Fairly important",NA,"Neither satisfied nor dissatisfied","Python - next year, Angular - next year",129
"125","Below 20","Windows","MacOS","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Master","Information_Technology","Critically important","Nothing","Very satisfied",NA,130
"126","Below 10","Linux-based","Linux-based","I have some influence","Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important","Nothing","Neither satisfied nor dissatisfied",NA,131
"127","1","Windows","Windows","I have some influence","Ask developers I know/work with;Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,NA,"Python",132
"128","Below 10","Windows","Windows","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Business","Fairly important","I would select information technology","Slightly dissatisfied","JavaScript - both",133
"129","Below 100","Windows","MacOS","I have some influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Fairly important","more practical work","Neither satisfied nor dissatisfied",NA,134
"130","Below 10","MacOS","MacOS","I have some influence","Ask developers I know/work with;","Bachelor","Social_Science","Very important","I would study Computer Science","Slightly satisfied",NA,135
"131","Below 10","Windows","Windows","I have some influence","Visit developer communities like Stack Overflow;Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Information_Technology","Very important",NA,"Very satisfied",NA,136
"132","Below 100","Windows","Windows","I have little or no influence","Start a free trial;","Bachelor","Health_Science","Fairly important",NA,"Slightly satisfied",NA,137
"133","Below 100","Windows","Windows","I have little or no influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Bachelor","Health_Science","Very important","learn programming earlier","Slightly satisfied",NA,138
"134","Over 500","MacOS","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;Start a free trial;","Bachelor","Visual_Arts","Not at all important/not necessary","Nothing","Very dissatisfied","Elixir - both, Golang - both",139
"135",NA,"MacOS","Windows","I have little or no influence","Start a free trial;",NA,NA,NA,NA,NA,NA,140
"136","Below 10","Windows","Linux-based","I have a great deal of influence","Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Computer_Science_Engineering","Very important",NA,"Slightly satisfied",NA,141
"137","1","Windows","Windows","I have little or no influence","Ask developers I know/work with;","Bachelor","Business","Not at all important/not necessary","Nothing","Slightly satisfied",NA,142
"138","Below 100","Windows","Linux-based","I have a great deal of influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Very satisfied",NA,143
"139",NA,"Windows","MacOS","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor",NA,NA,NA,NA,NA,144
"140","Below 10","MacOS","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Higher_National_Diploma","Computer_Science_Engineering","Very important","Nothing","Neither satisfied nor dissatisfied","Python, JavaScript",145
"141","Below 100","Windows","Windows","I have some influence",NA,"Bachelor","Information_Technology","Critically important",NA,"Slightly satisfied",NA,146
"142","1","Windows","MacOS","I have a great deal of influence","Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Chemistry","Not at all important/not necessary","Material engineering","Very satisfied",NA,147
"143",NA,"Windows","Windows","I have little or no influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Social_Science",NA,"I woud have added something else to my studies",NA,NA,148
"144","1","Windows","MacOS","I have a great deal of influence","Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important",NA,"Very satisfied",NA,149
"145","1","Windows","Linux-based","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Secondary_High_School","Computer_Science_Engineering","Fairly important","The learning platforms used","Slightly satisfied",NA,150
"146","Below 100","MacOS","MacOS","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Critically important",NA,"Very satisfied",NA,151
"147",NA,"Windows","Windows",NA,"Visit developer communities like Stack Overflow;","Bachelor","Other_Engineering","Fairly important",NA,NA,NA,152
