ID,age_optional_34,gender_35,transgender_36,sexual_orientation_37,ethnicity_38,disabilitys_39,mental_illness_40,dependents_41,survey_length_42,survey_difficulty_43,final_thoughts_44
124,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
125,23,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
126,,Man,,,Black or of African descent,,,,Too long,Neither easy nor difficult,
127,25,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have an anxiety disorder;OCD;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
128,24,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
129,,Woman,,,,,,,Appropriate in length,Easy,
130,25,Man,No,Straight / Heterosexual,Black or of African descent,I prefer not to answer;,I prefer not to answer;,No,Too long,Neither easy nor difficult,Please be honest in your survey estimation time
131,18,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,No please
132,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,No please
133,25,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
134,24,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,Looking forward to the findings from this survey.
135,29,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have a concentration and/or memory disorder (e.g. ADHD);,No,Too long,Easy,I'm not very clear on the subject matter or overall purpose of this survey so I can't gather any conclusive thoughts
136,27,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
137,,Woman,No,,Black or of African descent,,,No,Appropriate in length,Neither easy nor difficult,
138,,Woman,No,Straight / Heterosexual,Black or of African descent,I am deaf / hard of hearing;,None of the above;,No,Too long,Easy,
139,,Man,,,Black or of African descent,I am blind / have difficulty seeing;,None of the above;,Yes,Too long,Difficult,
140,,Man,,Straight / Heterosexual,Black or of African descent,,None of the above;,No,,,
141,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,,Appropriate in length,Easy,
142,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,None
143,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Easy,
144,,Man,,,,,,,Too long,Neither easy nor difficult,
145,33,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,Yes,Appropriate in length,Neither easy nor difficult,N/A
146,31,Man,No,Straight / Heterosexual,Black or of African descent,,,Yes,Too long,Easy,
147,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Too long,Neither easy nor difficult,
148,21,Woman,No,Straight / Heterosexual,Black or of African descent,I have a mild visual impairment;,,No,Appropriate in length,Easy,Thanks for having the welfare of developers at heaet.
149,32,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
150,16,Man,No,,Black or of African descent,None of the above;,,,Appropriate in length,Easy,
151,,Man,No,Straight / Heterosexual,I prefer not to answer,,,No,Too long,Easy,Good initiative
152,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,If there are any opportunities u can offer I'd be grateful
153,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
154,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
155,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
156,,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Appropriate in length,Easy,
157,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,👊🏾👊🏾
158,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
159,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
160,19,Man,No,Straight / Heterosexual,Black or of African descent,I am unable to / find it difficult to type;,None of the above;,No,Too long,Easy,
161,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
162,24,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Difficult,"I think this survey platform,is difficult to navigate especially on safari iphone. Almost stopped filling. Continued anyway out of goodwill."
163,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);",I prefer not to say,Too long,Neither easy nor difficult,
164,26,Man,No,,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
165,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
166,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
167,,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,"Just happy that, as an african country we're upgrading tech-wise"
168,19,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have an anxiety disorder;,No,Appropriate in length,Neither easy nor difficult,
169,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
170,33,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,"Great survey , it will be great if hacklab foundation can assist both upcoming and senior engineers to find jobs either internship , part-time ,and full-time in the corona period ."
171,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,I think this survey is a good thing and keep it up.
172,37,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
173,32,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
174,31,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
175,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,,Yes,Appropriate in length,Easy,I look forward for your assistance
176,,Man,,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,,"Looking forward to hearing from you for internship, attachments or job opportunities"
177,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,Keep up
178,19,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,"I think tech literacy among the youth in this country is very low and the logistics and resources which should be in place to facilitate easy learning of various technologies are not enough
I am learning technology the hard way mostly by self-learning
My wish is that, in some years to come, every Ghanaian child should learn to code and play around with technology"
179,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
180,,Man,No,,Black or of African descent,None of the above;,I prefer not to answer;,No,Too long,Easy,
181,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
182,20,Woman,No,Bisexual,Black or of African descent,None of the above;,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);",No,Appropriate in length,Easy,
183,29,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
184,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
185,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
186,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
187,29,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
188,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
189,23,Man,No,Straight / Heterosexual,Black or of African descent,,,I prefer not to say,Appropriate in length,Neither easy nor difficult,
190,23,Man,No,,Black or of African descent,,,,Appropriate in length,Easy,
191,24,Man,No,,I prefer not to answer,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,All the best to Hacklab. Great team
192,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,"I will like to take part in your Hackathons and i wish if you hard other programs to teach new skills aside the Hackathons. 
Thank you"
193,25,Man,No,Straight / Heterosexual,Black or of African descent,,,Yes,Appropriate in length,Easy,
194,,Man,No,Bisexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
195,,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Appropriate in length,Easy,
196,21,Woman,No,Straight / Heterosexual,Black or of African descent,I am blind / have difficulty seeing;,None of the above;,Yes,Appropriate in length,Easy,
197,61,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,I hope the developer Community in Ghana grows in numbers and expertise.
198,24,Man,No,Straight / Heterosexual,Black or of African descent,I prefer not to answer;,None of the above;,I prefer not to say,Too long,Easy,Thanks :-). Great initiative!
199,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have a concentration and/or memory disorder (e.g. ADHD);,Yes,Too long,Neither easy nor difficult,
200,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
201,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
202,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
203,19,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
204,,Man,No,,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
205,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
206,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,No.
207,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,,No,Too long,Easy,
208,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
209,29,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
210,,Man,No,Straight / Heterosexual,Black or of African descent,,,I prefer not to say,Appropriate in length,Neither easy nor difficult,
211,26,Man,No,Gay or Lesbian,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
212,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
213,,Man,No,,Black or of African descent,None of the above;,,No,Too long,Neither easy nor difficult,
214,37,Man,No,Straight / Heterosexual,Black or of African descent,,,Yes,Too long,Neither easy nor difficult,
215,21,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,,No,Appropriate in length,Neither easy nor difficult,Most of my answers do not make me out as much of a developer but I am really eager to learn
216,23,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
217,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
218,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
219,21,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
220,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
221,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,None
222,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,Nope
223,33,Man,,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
224,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
225,18,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,No,Appropriate in length,Easy,
226,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
227,22,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
228,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,Hope to hear from you with opportunities
229,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
230,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
231,,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
232,23,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Difficult,
233,22,Man,No,Straight / Heterosexual,Black or of African descent,I am unable to / find it difficult to walk or stand without assistance;,,No,Appropriate in length,Easy,
234,18,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,Looking forward to working with Hacklab Foundation
235,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
