ID,start_time,completion_time,survey_duration,profession_1,hobby_coding_2,employment_3,region_4,city_5,age_range_6,new_tool_7,prim_opsyst_14,rather_opsyst_15,purch_influence_16,solution_research_17,highest_edu_18,prim_study_19,edu_importance_20,change_edu_21,job_satisfaction_22,company_size_23,weekly_work_hours_24,overtime_work_25,company_onboarding_process_26,improve_onboarding_27,monthly_salary_28,job_status_29,drivers_for_new_jobs_30,how_learn_about_company_31,dev_community_member_32,which_dev_community_33,age_optional_34,gender_35,transgender_36,sexual_orientation_37,ethnicity_38,disabilitys_39,mental_illness_40,dependents_41,survey_length_42,survey_difficulty_43,final_thoughts_44
21,2020-10-15T14:22:48Z,2020-10-15T14:47:38Z,1490,I am a student who is learning to code,Yes,Student,Ashanti Region,"Tafo, Kumasi, Ghana",20 - 25,Once every few years,Windows,Windows,I have little or no influence,Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;,Secondary_High_School,Mathematics_Statistics,Very important,"I would change my programme of study to computer science, or software engineering.",Slightly satisfied,,,,,,,"I'm not actively looking, but I am open to new opportunities",,,Yes,Facebook Developer Circle;Google Developer Group,20,Man,No,Straight / Heterosexual,Black or of African descent,,,,Appropriate in length,Easy,This is a very good initiative to map out developer community in Ghana.
22,2020-10-15T14:43:00Z,2020-10-15T14:58:20Z,920,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"North Legon ( Haatso ), Ghana",20 - 25,This varies depending on work and projects,MacOS,MacOS,I have a great deal of influence,Start a free trial;Ask developers I know/work with;,Secondary_High_School,Agricultural_Science,Not at all important/not necessary,,Neither satisfied nor dissatisfied,Below 100,100,Frequently: 3 or more days per week,No,,"GHS 1,500 - GHS 2,000",I am actively looking for a job,Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",Yes,DevCongress,23,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,I was expecting more dev community questions based
23,2020-10-15T14:50:49Z,2020-10-15T15:03:48Z,779,None of these,No,Employed full-time,"Central Region, Ghana","kasoa, Ghana",20 - 25,Other,,,,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;,Secondary_High_School,,Very important,,Slightly satisfied,Below 10,40,Occasionally: 1-2 days per quarter but less than monthly,Yes,,"Less than GHS 1,500",I am not interested in new job oportunities,,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Publicly available financial information (e.g. Crunchbase);",No,,22,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
24,2020-10-15T15:14:38Z,2020-10-15T15:31:24Z,1006,I am a student who is learning to code,Yes,Student,"Western Region, Ghana","fijai, Ghana",20 - 25,Once a year,Windows,Linux-based,I have some influence,Ask developers I know/work with;,Secondary_High_School,Physics,Fairly important,I would study Computer Science,Neither satisfied nor dissatisfied,1,,Occasionally: 1-2 days per quarter but less than monthly,Yes,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Wanting to work with new technologies;,"Read company media, such as employees blogs or company culture videos;",Yes,DevCongress,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
25,2020-10-15T14:57:21Z,2020-10-15T15:32:41Z,2120,I am a student who is learning to code,No,Student,"Eastern Region, Ghana","Odumase Krobo, Ghana",20 - 25,Every few months,Windows,Windows,I have some influence,Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;,Secondary_High_School,Other_Engineering,Somewhat important,Nothing,,,,,,,,"I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,,Yes,Matlab Users;Integrators ---LinkedIn;Python Data Science;Machine Learning;Natural Language Processing ------ LinkedIn,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
26,2020-10-15T16:21:04Z,2020-10-15T17:03:37Z,2553,I am a student who is learning to code,Yes,Student,Greater Accra Region,"ablekuma, Ghana",20 - 25,Every few months,Windows,Linux-based,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;,Bachelor,Computer_Science_Engineering,Very important,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",Wanting to work with new technologies;Wanting to improve your skills;Curious about other opportunities;Wanting to share accomplishments with a wider network;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,Developer Student Club;Developer Student Club - KNUST,,Man,No,,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Too long,Neither easy nor difficult,
27,2020-10-15T17:27:06Z,2020-10-15T17:36:28Z,562,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,Employed full-time,Greater Accra Region,"accra, Ghana",20 - 25,,Windows,Linux-based,I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;,Bachelor,Computer_Science_Engineering,Critically important,Nothing,Very dissatisfied,Below 20,40,Sometimes: 1-2 days per month but less than weekly,No,Have orientation sessions before on-boarding,"GHS 1,500 - GHS 2,000",I am actively looking for a job,Curious about other opportunities;Wanting to work with new technologies;Wanting to improve your skills;A job i love and how challenging it is;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;",Yes,PyLadies Ghana;Python Ghana;Developers in Vogue,25,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
28,2020-10-15T17:40:52Z,2020-10-15T17:55:18Z,866,I am a developer by profession,No,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,Windows,Linux-based,I have some influence,Ask developers I know/work with;Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Computer_Science_Engineering,Very important,Nothing,Slightly satisfied,Below 10,40,Sometimes: 1-2 days per month but less than weekly,Yes,,"GHS 1,500 - GHS 2,000","I'm not actively looking, but I am open to new opportunities",Better compensation;Curious about other opportunities;Better work/life balance;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,Stack Overflow,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
29,2020-10-15T17:44:12Z,2020-10-15T17:57:40Z,808,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,Windows,Linux-based,I have a great deal of influence,Start a free trial;Ask developers I know/work with;,Bachelor,Computer_Science_Engineering,Very important,,Very satisfied,Below 100,50,Often: 1-2 days per week,No,,"GHS 8,000 - GHS 10,000","I'm not actively looking, but I am open to new opportunities",Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Looking to relocate;Wanting to improve your skills;Trouble with leadership at my company;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",Yes,Hacklab Foundation;Ghana Developers,25,Man,No,,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
30,2020-10-15T17:52:24Z,2020-10-15T18:05:42Z,798,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Kaneshie, Ghana",26 - 30,Every few months,MacOS,MacOS,I have some influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Information_Technology,Somewhat important,Nothing,Very dissatisfied,Below 20,40,Occasionally: 1-2 days per quarter but less than monthly,No,,"GHS 2,500 - GHS 3,000",I am actively looking for a job,Wanting to share accomplishments with a wider network;Better compensation;Wanting to work with new technologies;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",Yes,DevCongress,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
31,2020-10-15T17:48:40Z,2020-10-15T18:21:49Z,1989,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"kasoa, Ghana",36 - 40,,Windows,Linux-based,I have little or no influence,Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;Ask developers I know/work with;,Master,Other_Engineering,Fairly important,I woud not go to university,Neither satisfied nor dissatisfied,Over 500,45,Frequently: 3 or more days per week,No,Let IT help desk raise tickets for each unit responsible for delivering into the process,"GHS 4,000 - GHS 5,000",I am actively looking for a job,Better work/life balance;Better compensation;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",Yes,Stack Overflow,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
32,2020-10-15T18:11:08Z,2020-10-15T18:37:44Z,1596,I am a student who is learning to code,Yes,"Not employed, but looking for work",Upper West Region,"Wa, Ghana",26 - 30,Once a year,Windows,Windows,I have some influence,Ask developers I know/work with;,Bachelor,Health_Science,Very important,,Slightly satisfied,Below 100,4,Often: 1-2 days per week,No,Through IT skills,"Less than GHS 1,500",I am actively looking for a job,Wanting to share accomplishments with a wider network;Better compensation;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,Personal network - friends or family;Publicly available financial information (e.g. Crunchbase);,No,,26,Woman,No,Straight / Heterosexual,Black or of African descent,,,Yes,,,
33,2020-10-15T18:27:37Z,2020-10-15T18:40:01Z,744,I am a student who is learning to code,Yes,Employed part-time,Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,Windows,Windows,I have a great deal of influence,Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;,Secondary_High_School,Computer_Science_Engineering,Fairly important,,Very dissatisfied,Below 10,120,Often: 1-2 days per week,No,Through orientation,"GHS 1,500 - GHS 2,000","I'm not actively looking, but I am open to new opportunities",Wanting to work with new technologies;,"Read company media, such as employees blogs or company culture videos;",No,,25,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,Yes,,,
34,2020-10-15T18:44:51Z,2020-10-15T18:48:05Z,194,None of these,No,Employed full-time,Greater Accra Region,"accra, Ghana",31 - 35,,Windows,Windows,I have a great deal of influence,Start a free trial;Ask developers I know/work with;,Bachelor,Computer_Science_Engineering,Very important,learn programming earlier,Slightly satisfied,Below 100,40,Occasionally: 1-2 days per quarter but less than monthly,Yes,It’s fine,"GHS 1,500 - GHS 2,000","I'm not actively looking, but I am open to new opportunities",Wanting to work with new technologies;Better compensation;,"Personal network - friends or family;Read company media, such as employees blogs or company culture videos;",No,,,Man,No,,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
35,2020-10-15T20:10:09Z,2020-10-15T20:20:16Z,607,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Ashaiman, Ghana",20 - 25,Once a year,MacOS,MacOS,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;,Bachelor,Computer_Science_Engineering,Critically important,,Very satisfied,Below 10,40,Frequently: 3 or more days per week,No,,"GHS 3,000 - GHS 3,500","I'm not actively looking, but I am open to new opportunities",Wanting to work with new technologies;Wanting to improve your skills;Better compensation;Wanting to share accomplishments with a wider network;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
36,2020-10-15T20:20:19Z,2020-10-15T20:33:20Z,781,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Volta Region,"Ho, Ghana",20 - 25,Once a year,Windows,Windows,I have a great deal of influence,Ask developers I know/work with;Start a free trial;,Higher_National_Diploma,Health_Science,Critically important,,Slightly dissatisfied,1,6,Often: 1-2 days per week,No,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Better compensation;Wanting to work with new technologies;Better work/life balance;Wanting to improve your skills;Wanting to share accomplishments with a wider network;,"Personal network - friends or family;Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",Yes,Ho Node Hub,24,Man,No,Prefer not to say,,,,No,Too long,Easy,
37,2020-10-15T21:21:51Z,2020-10-15T22:26:43Z,3892,I am a developer by profession,Yes,Employed full-time,Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,Windows,Windows,I have little or no influence,Ask developers I know/work with;,Bachelor,Computer_Science_Engineering,Very important,Nothing,Very satisfied,Below 20,40,Frequently: 3 or more days per week,No,,"GHS 2,000 - GHS 2,500","I'm not actively looking, but I am open to new opportunities",Better compensation;Curious about other opportunities;Better work/life balance;,"Read company media, such as employees blogs or company culture videos;",Yes,Laravel Developers Ghana,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
38,2020-10-15T23:41:55Z,2020-10-15T23:57:48Z,953,I am a student who is learning to code,Yes,"Not employed, but looking for work",Greater Accra Region,"ablekuma, Ghana",26 - 30,,Windows,Windows,,Visit developer communities like Stack Overflow;,Bachelor,Other_Engineering,Fairly important,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better work/life balance;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;",,,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
39,2020-10-15T23:38:50Z,2020-10-16T04:53:16Z,18866,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",20 - 25,,Windows,MacOS,I have a great deal of influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Start a free trial;,Bachelor,Computer_Science_Engineering,Very important,Nothing,Slightly satisfied,Below 10,50,Frequently: 3 or more days per week,No,By improving the organisational structure to facilitate the work flow,"GHS 1,500 - GHS 2,000","I'm not actively looking, but I am open to new opportunities",Looking to relocate;Wanting to improve your skills;Better work/life balance;Better compensation;Wanting to share accomplishments with a wider network;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;",Yes,Stack Overflow,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
40,2020-10-16T07:27:42Z,2020-10-16T07:45:21Z,1059,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,Student,Upper West Region,"Wa, Ghana",20 - 25,Every few months,Windows,Windows,I have some influence,Ask developers I know/work with;Start a free trial;Visit developer communities like Stack Overflow;,,,,,Neither satisfied nor dissatisfied,Below 10,56,Often: 1-2 days per week,No,None,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;",Yes,Flutter Ghana;Python Ghana,,Woman,No,Bisexual,Black or of African descent,None of the above;,None of the above;,Yes,,,
41,2020-10-16T10:36:41Z,2020-10-16T10:50:26Z,825,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Ashanti Region,"Awomaso, Ghana",20 - 25,Once a year,Windows,Windows,I have little or no influence,,Secondary_High_School,Computer_Science_Engineering,Somewhat important,,Slightly satisfied,1,28,,,,"Less than GHS 1,500",I am actively looking for a job,Better compensation;,Online (Linkedin;,Yes,Python Ghana,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
42,2020-10-16T10:51:40Z,2020-10-16T11:07:04Z,924,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"kasoa, Ghana",20 - 25,Once a year,Windows,Windows,I have some influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Start a free trial;,Bachelor,Computer_Science_Engineering,Fairly important,Nothing,Slightly satisfied,Below 100,24,Frequently: 3 or more days per week,No,,"GHS 2,500 - GHS 3,000","I'm not actively looking, but I am open to new opportunities",Better compensation;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,Personal network - friends or family;,No,,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,I prefer not to say,Appropriate in length,Neither easy nor difficult,
